metric,value
train_r2,0.9999952163534337
test_r2,0.9999969842008104
train_rmse,0.10096283611922913
test_rmse,0.08649731565519209
train_mae,0.07934880467105465
test_mae,0.0702958073301454
train_mape_percent,0.12186463807584015
test_mape_percent,0.11509301391714258
node_count,7.0
tree_depth,0.0
r2_per_node,0.1428567120286872
