x,y,layer1_gray,layer2_gray,layer3_gray,trilayer_gray
4,319,53.68000030517578,6.480000019073486,210.16000366210938,148.1199951171875
863,792,162.24000549316406,123.36000061035156,12.15999984741211,162.9600067138672
933,792,114.08000183105469,50.47999954223633,16.079999923706055,99.12000274658203
224,524,6.239999771118164,50.880001068115234,17.559999465942383,41.0
262,899,49.52000045776367,4.0,33.47999954223633,47.52000045776367
981,405,62.599998474121094,3.359999895095825,42.63999938964844,59.560001373291016
424,891,182.16000366210938,4.0,232.27999877929688,229.1999969482422
579,969,238.55999755859375,41.63999938964844,36.599998474121094,173.44000244140625
52,340,4.0,218.9199981689453,8.039999961853027,126.44000244140625
853,955,162.0399932861328,123.91999816894531,12.079999923706055,163.1999969482422
155,994,3.0,81.19999694824219,4.920000076293945,48.91999816894531
354,452,34.599998474121094,32.36000061035156,6.679999828338623,40.36000061035156
568,3,7.360000133514404,5.0,100.0,61.20000076293945
694,23,8.15999984741211,57.84000015258789,24.8799991607666,49.68000030517578
813,689,4.599999904632568,148.8800048828125,12.15999984741211,90.5199966430664
360,812,34.47999954223633,12.359999656677246,49.31999969482422,52.560001373291016
302,141,103.5199966430664,12.199999809265137,67.08000183105469,100.04000091552734
751,282,54.400001525878906,129.0399932861328,5.599999904632568,103.63999938964844
749,444,69.36000061035156,210.44000244140625,5.760000228881836,156.39999389648438
661,445,38.040000915527344,175.36000061035156,4.599999904632568,119.44000244140625
364,83,7.519999980926514,43.7599983215332,3.4000000953674316,30.040000915527344
5,826,23.280000686645508,8.680000305175781,218.8800048828125,137.55999755859375
170,770,12.279999732971191,49.040000915527344,4.0,35.599998474121094
598,831,5.079999923706055,53.63999938964844,16.280000686645508,41.040000915527344
488,65,30.280000686645508,5.239999771118164,22.760000228881836,31.84000015258789
761,626,165.24000549316406,93.83999633789062,14.199999809265137,149.55999755859375
22,1008,7.599999904632568,6.400000095367432,90.76000213623047,57.2400016784668
227,941,12.520000457763672,42.279998779296875,4.0,32.20000076293945
435,220,97.83999633789062,4.0,100.5199966430664,110.72000122070312
912,683,4.0,73.95999908447266,8.039999961853027,47.08000183105469
903,45,61.15999984741211,5.400000095367432,103.36000061035156,93.08000183105469
110,301,69.0,12.720000267028809,32.91999816894531,62.79999923706055
928,166,6.71999979019165,25.559999465942383,77.12000274658203,60.08000183105469
781,236,64.87999725341797,5.239999771118164,38.08000183105469,59.15999984741211
243,38,29.479999542236328,18.280000686645508,81.31999969482422,70.5999984741211
483,844,5.760000228881836,4.71999979019165,72.4800033569336,45.31999969482422
573,312,122.68000030517578,10.960000038146973,148.55999755859375,154.47999572753906
206,652,69.16000366210938,7.840000152587891,189.0399932861328,145.67999267578125
619,755,50.560001373291016,3.4800000190734863,17.200000762939453,39.119998931884766
614,909,144.0800018310547,4.239999771118164,58.08000183105469,113.04000091552734
284,294,236.55999755859375,40.959999084472656,35.599998474121094,171.52000427246094
619,344,4.0,240.9199981689453,8.239999771118164,138.55999755859375
239,71,190.8000030517578,3.0,89.5999984741211,155.36000061035156
718,882,55.040000915527344,9.520000457763672,142.9600067138672,113.72000122070312
960,449,45.439998626708984,50.31999969482422,6.0,55.79999923706055
954,150,23.479999542236328,10.84000015258789,84.72000122070312,65.27999877929688
254,370,18.440000534057617,22.0,47.68000030517578,48.36000061035156
419,392,82.08000183105469,3.7200000286102295,109.16000366210938,106.76000213623047
463,144,61.2400016784668,9.0,70.36000061035156,76.95999908447266
322,232,87.23999786376953,3.0,72.4800033569336,89.23999786376953
409,894,58.36000061035156,4.0,65.4800033569336,69.91999816894531
874,727,38.15999984741211,4.0,41.439998626708984,45.720001220703125
603,378,21.15999984741211,6.920000076293945,47.15999984741211,41.279998779296875
271,649,40.47999954223633,12.479999542236328,117.55999755859375,93.4800033569336
26,285,49.959999084472656,63.040000915527344,5.960000038146973,65.16000366210938
250,1003,4.0,146.1199951171875,9.600000381469727,87.5199966430664
186,776,42.959999084472656,216.0,4.599999904632568,144.44000244140625
233,550,117.72000122070312,5.199999809265137,233.27999877929688,195.0399932861328
90,678,4.119999885559082,20.280000686645508,35.91999816894531,33.2400016784668
192,842,5.199999809265137,12.119999885559082,53.119998931884766,38.52000045776367
941,948,23.920000076293945,82.12000274658203,4.119999885559082,60.439998626708984
875,723,38.720001220703125,4.0,50.040000915527344,50.720001220703125
762,605,21.399999618530273,199.0399932861328,4.0,122.72000122070312
136,909,43.720001220703125,3.9200000762939453,30.239999771118164,42.560001373291016
