x,y,layer1_gray,layer2_gray,bilayer_gray
299,219,6.199999809265137,201.75999450683594,201.16000366210938
848,540,3.759999990463257,75.83999633789062,76.80000305175781
488,873,3.0799999237060547,101.55999755859375,101.4000015258789
867,540,4.039999961853027,119.95999908447266,119.95999908447266
5,800,243.44000244140625,4.0,239.32000732421875
83,373,10.0,118.55999755859375,124.31999969482422
291,610,52.439998626708984,3.0,53.7599983215332
557,291,64.12000274658203,8.399999618530273,70.08000183105469
898,979,4.559999942779541,77.12000274658203,79.12000274658203
815,578,59.279998779296875,3.319999933242798,60.63999938964844
429,989,7.71999979019165,209.63999938964844,210.1999969482422
102,641,130.32000732421875,4.0,130.16000366210938
811,229,123.04000091552734,4.320000171661377,123.19999694824219
869,636,56.400001525878906,5.360000133514404,59.7599983215332
916,649,6.0,191.83999633789062,191.47999572753906
438,304,15.5600004196167,81.36000061035156,93.80000305175781
435,977,9.0,197.55999755859375,199.8000030517578
475,31,4.840000152587891,92.5999984741211,94.19999694824219
958,42,5.239999771118164,151.52000427246094,151.63999938964844
855,470,223.1199951171875,8.319999694824219,223.8800048828125
349,727,86.44000244140625,5.480000019073486,88.95999908447266
541,548,48.47999954223633,29.68000030517578,75.68000030517578
819,81,56.040000915527344,5.400000095367432,59.279998779296875
464,206,4.159999847412109,59.36000061035156,61.439998626708984
530,980,4.0,158.8800048828125,157.55999755859375
610,917,57.68000030517578,3.559999942779541,59.119998931884766
245,302,11.4399995803833,103.63999938964844,111.36000061035156
522,302,4.0,86.04000091552734,87.27999877929688
170,878,26.239999771118164,35.0,59.20000076293945
977,58,60.599998474121094,22.31999969482422,80.27999877929688
525,553,100.5199966430664,10.039999961853027,106.91999816894531
544,904,163.52000427246094,12.319999694824219,170.1199951171875
981,966,44.47999954223633,43.720001220703125,85.31999969482422
518,497,4.920000076293945,90.83999633789062,92.68000030517578
244,751,81.5999984741211,4.28000020980835,83.23999786376953
331,556,94.19999694824219,12.479999542236328,103.19999694824219
377,54,4.0,173.60000610351562,171.9600067138672
807,401,226.32000732421875,7.039999961853027,225.67999267578125
931,659,11.239999771118164,45.31999969482422,54.63999938964844
273,632,141.39999389648438,8.399999618530273,144.9199981689453
167,878,30.200000762939453,25.399999618530273,53.720001220703125
535,146,14.720000267028809,64.27999877929688,76.5199966430664
347,808,12.399999618530273,106.72000122070312,115.19999694824219
303,469,172.0399932861328,18.239999771118164,184.1199951171875
318,48,111.72000122070312,7.800000190734863,115.63999938964844
491,213,6.639999866485596,149.1199951171875,150.60000610351562
70,906,61.79999923706055,4.679999828338623,64.31999969482422
928,998,6.0,74.4800033569336,77.80000305175781
130,130,24.040000915527344,77.08000183105469,97.87999725341797
111,153,42.15999984741211,21.799999237060547,61.79999923706055
1015,989,10.520000457763672,59.279998779296875,67.55999755859375
236,46,64.4800033569336,10.199999809265137,72.36000061035156
686,562,13.239999771118164,86.08000183105469,96.16000366210938
115,217,8.039999961853027,149.75999450683594,152.75999450683594
776,704,3.9200000762939453,77.68000030517578,78.68000030517578
570,898,12.0,100.80000305175781,109.19999694824219
621,417,72.91999816894531,4.0,74.44000244140625
44,491,3.359999895095825,81.83999633789062,82.55999755859375
29,621,57.0,11.520000457763672,66.31999969482422
191,211,6.920000076293945,227.0399932861328,226.36000061035156
742,231,27.799999237060547,55.36000061035156,80.4000015258789
52,818,4.0,138.55999755859375,137.67999267578125
62,56,146.0399932861328,18.0,158.47999572753906
351,573,154.24000549316406,9.119999885559082,157.8800048828125
919,1002,3.680000066757202,99.4000015258789,99.72000122070312
772,303,163.83999633789062,19.760000228881836,177.67999267578125
943,116,135.72000122070312,3.0,134.36000061035156
760,972,155.32000732421875,9.15999984741211,158.9600067138672
227,239,119.5199966430664,4.119999885559082,119.72000122070312
80,283,80.16000366210938,4.800000190734863,82.27999877929688
647,824,10.680000305175781,68.55999755859375,76.63999938964844
974,985,50.279998779296875,47.52000045776367,94.5999984741211
744,813,59.15999984741211,14.279999732971191,71.0
483,950,88.12000274658203,3.0,88.16000366210938
845,960,167.47999572753906,5.119999885559082,167.0399932861328
825,724,102.27999877929688,24.719999313354492,123.04000091552734
305,899,6.71999979019165,133.9600067138672,136.0
947,109,58.47999954223633,3.0,59.47999954223633
234,151,3.359999895095825,154.24000549316406,152.67999267578125
871,712,14.960000038146973,60.68000030517578,73.19999694824219
245,581,60.560001373291016,3.0,61.47999954223633
21,712,4.360000133514404,165.52000427246094,164.39999389648438
910,480,10.359999656677246,114.63999938964844,121.0
795,243,88.95999908447266,3.440000057220459,89.36000061035156
1015,413,54.15999984741211,7.440000057220459,59.47999954223633
577,207,8.640000343322754,104.91999816894531,109.76000213623047
784,655,25.84000015258789,52.959999084472656,76.23999786376953
238,502,3.0,59.91999816894531,60.880001068115234
993,380,57.880001068115234,10.199999809265137,65.91999816894531
354,467,41.119998931884766,27.0,65.91999816894531
668,561,4.079999923706055,159.75999450683594,158.72000122070312
741,634,30.959999084472656,25.200000762939453,54.400001525878906
555,479,60.2400016784668,10.5600004196167,68.4800033569336
458,395,38.91999816894531,59.08000183105469,94.5999984741211
765,620,111.4000015258789,4.920000076293945,112.55999755859375
60,480,4.320000171661377,222.9600067138672,219.83999633789062
897,323,3.0,155.67999267578125,153.72000122070312
339,50,82.27999877929688,5.199999809265137,84.5999984741211
124,133,46.720001220703125,63.91999816894531,107.08000183105469
894,215,62.119998931884766,11.479999542236328,71.4000015258789
776,892,19.600000381469727,66.4000015258789,83.12000274658203
600,891,69.87999725341797,18.520000457763672,85.5999984741211
209,631,189.0399932861328,12.239999771118164,194.8000030517578
951,30,3.0,65.95999908447266,66.83999633789062
936,627,57.79999923706055,9.239999771118164,64.72000122070312
246,85,51.119998931884766,4.0,53.279998779296875
465,702,6.0,80.80000305175781,84.0
229,735,53.52000045776367,20.719999313354492,71.68000030517578
930,912,50.36000061035156,12.199999809265137,60.400001525878906
736,646,13.520000457763672,86.87999725341797,97.04000091552734
80,296,131.47999572753906,8.680000305175781,135.44000244140625
678,719,14.0,101.87999725341797,112.04000091552734
814,741,211.9600067138672,6.159999847412109,210.9600067138672
853,395,10.0,92.63999938964844,99.31999969482422
975,709,7.760000228881836,53.47999954223633,59.36000061035156
365,788,70.55999755859375,6.159999847412109,74.23999786376953
660,144,114.04000091552734,10.279999732971191,120.19999694824219
155,228,209.0399932861328,11.800000190734863,213.60000610351562
261,821,6.199999809265137,175.44000244140625,175.72000122070312
